$-0.21	-0.73	0.05	0.65	-5483	2423	231
$-0.22	-0.73	0.05	0.65	-5437	2475	212
$-0.22	-0.73	0.05	0.65	-5455	2576	145
$-0.22	-0.73	0.06	0.65	-5519	2701	43
$-0.22	-0.73	0.06	0.65	-5605	2823	-80
$-0.22	-0.72	0.06	0.65	-5684	2925	-184
$-0.22	-0.72	0.06	0.65	-5761	3013	-264
$-0.23	-0.72	0.06	0.65	-5835	3083	-350
$-0.23	-0.72	0.06	0.65	-5929	3158	-417
$-0.23	-0.72	0.06	0.65	-6076	3241	-501
$-0.23	-0.72	0.07	0.65	-6305	3331	-585
$-0.24	-0.72	0.07	0.65	-6633	3409	-675
$-0.24	-0.72	0.07	0.65	-7019	3480	-776
$-0.24	-0.72	0.07	0.65	-7419	3571	-902
$-0.24	-0.72	0.07	0.65	-7807	3718	-1032
$-0.24	-0.72	0.07	0.65	-8170	3928	-1185
$-0.24	-0.72	0.07	0.65	-8514	4177	-1353
$-0.24	-0.72	0.07	0.64	-8861	4436	-1530
$-0.24	-0.72	0.07	0.64	-9214	4639	-1685
$-0.24	-0.72	0.07	0.64	-9500	4723	-1808
$-0.24	-0.72	0.07	0.64	-9693	4686	-1894
$-0.24	-0.72	0.07	0.64	-9828	4610	-1959
$-0.24	-0.73	0.07	0.64	-9941	4553	-2006
$-0.24	-0.73	0.07	0.64	-10046	4515	-2041
$-0.24	-0.73	0.07	0.64	-10101	4481	-2070
$-0.24	-0.73	0.06	0.64	-10058	4435	-2073
$-0.24	-0.73	0.06	0.64	-9932	4350	-2026
$-0.24	-0.73	0.06	0.64	-9744	4218	-1925
$-0.24	-0.73	0.06	0.63	-9518	4077	-1768
$-0.24	-0.73	0.06	0.63	-9234	3955	-1561
$-0.24	-0.73	0.06	0.63	-8866	3876	-1313
$-0.24	-0.73	0.06	0.63	-8417	3845	-1057
$-0.23	-0.73	0.06	0.63	-7940	3851	-822
$-0.23	-0.73	0.06	0.63	-7493	3864	-621
$-0.23	-0.73	0.06	0.63	-7080	3853	-455
$-0.23	-0.73	0.06	0.63	-6715	3809	-322
$-0.23	-0.73	0.06	0.63	-6402	3725	-227
$-0.23	-0.73	0.06	0.63	-6113	3603	-163
